task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
201	56/ff3147	2412520	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (7cb4e820-bf76-406f-a0df-dc6d06b2e935)	COMPLETED	0	2026-06-10 00:13:00.297	357ms	0ms	39.1%	2.2 MB	4.3 MB	3.6 MB	9.1 KB
193	ff/e84460	2412572	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (364ef418-4b6a-4a3e-84f9-57ca755e1101)	COMPLETED	0	2026-06-10 00:13:00.304	367ms	0ms	37.2%	2.2 MB	4.3 MB	4 MB	9.1 KB
160	0a/a01b11	2412806	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (SRR7411445)	COMPLETED	0	2026-06-10 00:13:00.323	352ms	0ms	35.9%	10.5 MB	17.1 MB	3.1 MB	9 KB
224	d8/efa7be	2412500	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (ERR2539101)	COMPLETED	0	2026-06-10 00:13:00.292	379ms	0ms	36.7%	13.5 MB	21.9 MB	6.6 MB	9.1 KB
222	1a/f7045e	2412507	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (ERR2539158)	COMPLETED	0	2026-06-10 00:13:00.294	385ms	0ms	33.2%	11.2 MB	17.4 MB	7.5 MB	9.2 KB
163	3b/7c885b	2412553	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (SRR14189737)	COMPLETED	0	2026-06-10 00:13:00.302	397ms	0ms	36.1%	2.2 MB	4.3 MB	3.5 MB	9.1 KB
187	0c/7f96a0	2413590	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (8982e051-d476-4b65-a541-663f3f2892f2)	COMPLETED	0	2026-06-10 00:13:00.362	381ms	0ms	29.0%	6.8 MB	14.4 MB	3.8 MB	9.1 KB
210	71/d43064	2413311	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (dbd793a8-1b32-480d-9366-bb7b45c14549)	COMPLETED	0	2026-06-10 00:13:00.349	405ms	0ms	30.2%	5.2 MB	11.2 MB	4 MB	9.1 KB
185	03/d3d37f	2413478	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (SRR11355830)	COMPLETED	0	2026-06-10 00:13:00.357	402ms	0ms	27.5%	6 MB	14.5 MB	3.5 MB	9.1 KB
171	da/177200	2413417	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (a4a420c8-a195-4077-b621-6f8bfa02b39b)	COMPLETED	0	2026-06-10 00:13:00.354	414ms	0ms	29.9%	3.8 MB	11.3 MB	3.7 MB	9.1 KB
215	cf/aa9091	2414568	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (5ddaa9cb-f3a4-4e7b-8ed7-1d25820ece22)	COMPLETED	0	2026-06-10 00:13:00.404	374ms	0ms	45.6%	4.5 MB	12.7 MB	3.8 MB	9.1 KB
