task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
72	b8/569e36	3413240	NFCORE_RNASEQ:RNASEQ:QUANTIFY_PSEUDO_ALIGNMENT:SALMON_QUANT (8982e051-d476-4b65-a541-663f3f2892f2)	COMPLETED	0	2026-06-10 07:47:52.093	9m 10s	9m 10s	565.3%	18.3 GB	21.6 GB	24.4 GB	14.6 MB
68	9c/510b05	3458805	NFCORE_RNASEQ:RNASEQ:QUANTIFY_PSEUDO_ALIGNMENT:SALMON_QUANT (b0a12dfa-fb35-4b78-9886-47354d0f521e)	COMPLETED	0	2026-06-10 07:52:06.777	5m 46s	5m 46s	527.5%	17.9 GB	21.4 GB	23 GB	14.4 MB
74	da/fa0a78	3470209	NFCORE_RNASEQ:RNASEQ:QUANTIFY_PSEUDO_ALIGNMENT:SALMON_QUANT (SRR7961323)	COMPLETED	0	2026-06-10 07:53:20.060	4m 33s	4m 33s	489.8%	17.7 GB	21.2 GB	18.9 GB	14.1 MB
65	0f/89390d	3413438	NFCORE_RNASEQ:RNASEQ:QUANTIFY_PSEUDO_ALIGNMENT:SALMON_QUANT (e96d9259-bbe6-461a-9f11-37f985253dea)	COMPLETED	0	2026-06-10 07:47:52.111	10m 30s	10m 30s	583.2%	18.2 GB	21.6 GB	26.9 GB	14.6 MB
60	29/dca721	3472371	NFCORE_RNASEQ:RNASEQ:QUANTIFY_PSEUDO_ALIGNMENT:SALMON_QUANT (0b72f9e4-598b-4eb2-addc-9d23aeadd6a8)	COMPLETED	0	2026-06-10 07:53:28.525	6m 53s	6m 53s	548.5%	18.2 GB	21.6 GB	23.9 GB	14.5 MB
77	b3/19b3fd	3490943	NFCORE_RNASEQ:RNASEQ:QUANTIFY_PSEUDO_ALIGNMENT:SALMON_QUANT (2ea4421b-3693-4689-947f-da0c9da8b888)	COMPLETED	0	2026-06-10 07:55:23.977	5m 10s	5m 9s	531.5%	17.9 GB	21.3 GB	23.1 GB	14.4 MB
69	08/de70a4	3489881	NFCORE_RNASEQ:RNASEQ:QUANTIFY_PSEUDO_ALIGNMENT:SALMON_QUANT (d90389dc-120f-4e74-b3f0-8d3ac60bd3c4)	COMPLETED	0	2026-06-10 07:55:18.615	5m 27s	5m 27s	536.2%	17.9 GB	21.3 GB	22.5 GB	14.5 MB
71	30/220b14	3492772	NFCORE_RNASEQ:RNASEQ:QUANTIFY_PSEUDO_ALIGNMENT:SALMON_QUANT (4dc4f20b-29c0-4c88-a9a9-73b850b8aaa9)	COMPLETED	0	2026-06-10 07:55:32.930	5m 49s	5m 48s	545.0%	18 GB	21.4 GB	23.1 GB	14.4 MB
75	d8/3c7553	3495482	NFCORE_RNASEQ:RNASEQ:QUANTIFY_PSEUDO_ALIGNMENT:SALMON_QUANT (e9fae13c-4513-4afe-a03f-a2f90bff3f3c)	COMPLETED	0	2026-06-10 07:55:46.593	5m 55s	5m 55s	559.4%	18 GB	21.5 GB	24.9 GB	14.5 MB
79	fd/76cf88	3480668	NFCORE_RNASEQ:RNASEQ:QUANTIFY_PSEUDO_ALIGNMENT:SALMON_QUANT (dbd793a8-1b32-480d-9366-bb7b45c14549)	COMPLETED	0	2026-06-10 07:54:21.969	7m 33s	7m 32s	555.6%	18.2 GB	21.6 GB	23.9 GB	14.5 MB
7	dd/d6378e	3255683	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (ERR2539158)	COMPLETED	0	2026-06-10 07:20:14.473	43m 53s	43m 53s	443.6%	1.3 GB	9.5 GB	477.4 GB	445.7 GB
78	c6/a8c56b	3456868	NFCORE_RNASEQ:RNASEQ:QUANTIFY_PSEUDO_ALIGNMENT:SALMON_QUANT (ERR2539101)	COMPLETED	0	2026-06-10 07:51:59.938	21m 25s	21m 25s	611.1%	17.8 GB	21.5 GB	45 GB	13.9 MB
80	54/c83409	3527323	NFCORE_RNASEQ:RNASEQ:QUANTIFY_PSEUDO_ALIGNMENT:SALMON_QUANT (ERR2539158)	COMPLETED	0	2026-06-10 08:04:07.158	28m 25s	28m 25s	608.2%	18.1 GB	21.7 GB	47.6 GB	14.8 MB
81	4f/853164	3542901	NFCORE_RNASEQ:RNASEQ:QUANTIFY_PSEUDO_ALIGNMENT:CUSTOM_TX2GENE (null)	COMPLETED	0	2026-06-10 08:32:32.122	44.2s	44s	99.7%	62.2 MB	66 MB	2.8 GB	10.5 MB
82	ce/11e2d8	3543730	NFCORE_RNASEQ:RNASEQ:QUANTIFY_PSEUDO_ALIGNMENT:TXIMETA_TXIMPORT	COMPLETED	0	2026-06-10 08:33:16.347	36.4s	36s	126.0%	1.5 GB	14.2 GB	307.2 MB	192.7 MB
85	0c/70fbb9	3544627	NFCORE_RNASEQ:RNASEQ:QUANTIFY_PSEUDO_ALIGNMENT:SE_GENE (all_samples)	COMPLETED	0	2026-06-10 08:33:52.738	18.1s	18s	144.6%	779.2 MB	13.5 GB	55.7 MB	11 MB
84	2f/6c7e23	3544694	NFCORE_RNASEQ:RNASEQ:QUANTIFY_PSEUDO_ALIGNMENT:SE_GENE_LENGTH_SCALED (all_samples)	COMPLETED	0	2026-06-10 08:33:52.791	19.2s	20s	114.2%	804 MB	13.6 GB	64.6 MB	14.6 MB
86	22/0a62b9	3544698	NFCORE_RNASEQ:RNASEQ:QUANTIFY_PSEUDO_ALIGNMENT:SE_GENE_SCALED (all_samples)	COMPLETED	0	2026-06-10 08:33:52.795	19.5s	20s	116.8%	806.4 MB	13.6 GB	64.6 MB	14.4 MB
83	b7/f112d1	3544707	NFCORE_RNASEQ:RNASEQ:QUANTIFY_PSEUDO_ALIGNMENT:SE_TRANSCRIPT (all_samples)	COMPLETED	0	2026-06-10 08:33:52.798	52.6s	53s	105.4%	978.6 MB	13.7 GB	107.2 MB	35.5 MB
